Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Temporary Registration Card (white),23,68,91
 Foreign Registration Card (FRC),50,59,109
 Foreign Passport,3,8,11
 None,2204,10133,12337
 Child under 10 years,2738,12260,14998
 Total,20251,84096,104347
AREA # 080302,Minhla,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),8592,83868,92460
 Associate Scrutiny Card (blue),12,26,38
 Naturalised Scrutiny Card (green),12,149,161
 National Registration Card (3-fold),113,723,836
 Religious card,38,362,400
 Temporary Registration Card (white),6,164,170
 Foreign Registration Card (FRC),24,-,24
 Foreign Passport,2,33,35
 None,1824,27210,29034
 Child under 10 years,1887,21037,22924
 Total,12510,133572,146082
AREA # 080303,Mindon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3759,41376,45135
 Associate Scrutiny Card (blue),-,6,6
 Naturalised Scrutiny Card (green),1,30,31
 National Registration Card (3-fold),5,111,116
 Religious card,39,220,259
 Temporary Registration Card (white),2,64,66
 Foreign Passport,-,2,2
 None,212,4995,5207
 Child under 10 years,576,7959,8535
 Total,4594,54763,59357
AREA # 080304,Kamma,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3782,47039,50821
 Associate Scrutiny Card (blue),3,14,17
 Naturalised Scrutiny Card (green),18,54,72
 National Registration Card (3-fold),15,159,174
 Religious card,27,226,253
 Temporary Registration Card (white),7,34,41
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,-,6,6
 None,658,12344,13002
 Child under 10 years,692,10115,10807
 Total,5202,69993,75195
AREA # 080305,Aunglan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),32872,94776,127648
 Associate Scrutiny Card (blue),109,57,166
 Naturalised Scrutiny Card (green),227,237,464
 National Registration Card (3-fold),473,3287,3760
 Religious card,426,501,927
 Temporary Registration Card (white),90,149,239
 Foreign Registration Card (FRC),19,1,20
 Foreign Passport,15,52,67
 None,9989,53431,63420
 Child under 10 years,8267,30244,38511
 Total,52487,182735,235222
AREA # 080306,Sinpaungwe`,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3480,73311,76791
 Associate Scrutiny Card (blue),9,11,20
 Naturalised Scrutiny Card (green),2,88,90
 National Registration Card (3-fold),41,898,939
 Religious card,42,300,342
 Temporary Registration Card (white),1,43,44
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,6,6
 None,779,18266,19045
 Child under 10 years,734,19832,20566
 Total,5089,112755,117844
AREA # 080401,Pakokku,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),63165,128931,192096
 Associate Scrutiny Card (blue),67,30,97
 Naturalised Scrutiny Card (green),99,240,339
 National Registration Card (3-fold),285,1478,1763
 Religious card,1119,729,1848
 Temporary Registration Card (white),56,207,263
 Foreign Registration Card (FRC),3,3,6
 Foreign Passport,8,67,75
 None,12067,31940,44007
 Child under 10 years,13973,35672,49645
 Total,90842,199297,290139
AREA # 080402,Yesagyo,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15496,119936,135432
 Associate Scrutiny Card (blue),3,30,33
 Naturalised Scrutiny Card (green),19,211,230
 National Registration Card (3-fold),68,1033,1101
 Religious card,187,784,971
 Temporary Registration Card (white),34,74,108
 Foreign Registration Card (FRC),1,3,4
 Foreign Passport,1,30,31
 None,3460,35401,38861
 Child under 10 years,4060,34521,38581
 Total,23329,192023,215352
AREA # 080403,Myaing,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5856,127405,133261
 Associate Scrutiny Card (blue),-,29,29
 Naturalised Scrutiny Card (green),-,211,211
 National Registration Card (3-fold),21,1825,1846
 Religious card,51,719,770
 Temporary Registration Card (white),1,71,72
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,80,80
 None,633,46340,46973
 Child under 10 years,1143,41385,42528
 Total,7706,218065,225771
AREA # 080404,Pauk,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5410,98225,103635
 Associate Scrutiny Card (blue),2,13,15
 Naturalised Scrutiny Card (green),4,67,71
 National Registration Card (3-fold),-,176,176
 Religious card,62,457,519
 Temporary Registration Card (white),2,216,218
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,-,34,34
 None,658,30160,30818
 Child under 10 years,1146,34878,36024
 Total,7286,164228,171514
AREA # 080405,Seikphyu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6407,57054,63461
 Associate Scrutiny Card (blue),6,7,13
 Naturalised Scrutiny Card (green),10,80,90
 National Registration Card (3-fold),27,293,320
 Religious card,60,272,332
 Temporary Registration Card (white),1,61,62
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,1,73,74
 None,1149,16528,17677
 Child under 10 years,1419,19320,20739
 Total,9081,93688,102769
AREA # 080501,Gangaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),10254,82020,92274
 Associate Scrutiny Card (blue),1,20,21
 Naturalised Scrutiny Card (green),5,87,92
 National Registration Card (3-fold),14,330,344
 Religious card,57,444,501
 Temporary Registration Card (white),3,71,74
 Foreign Registration Card (FRC),-,7,7
 Foreign Passport,-,11,11
 None,1579,15984,17563
 Child under 10 years,2026,20382,22408
 Total,13939,119356,133295
AREA # 080502,Htilin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3362,34731,38093
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),-,7,7
 National Registration Card (3-fold),1,12,13
 Religious card,21,217,238
 Temporary Registration Card (white),3,65,68
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,3,3,6
 None,340,2811,3151
 Child under 10 years,791,6496,7287
 Total,4522,44344,48866
AREA # 080503,Saw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3733,22922,26655
 Associate Scrutiny Card (blue),2,2,4
 Naturalised Scrutiny Card (green),1,10,11
 National Registration Card (3-fold),3,22,25
 Religious card,16,161,177
 Temporary Registration Card (white),1,13,14
 Foreign Passport,-,2,2
 None,347,2412,2759
 Child under 10 years,759,5426,6185
 Total,4862,30970,35832
AREA # 080551,Kyaukhtu(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3574,22706,26280
 Associate Scrutiny Card (blue),4,4,8
 Naturalised Scrutiny Card (green),-,17,17
 National Registration Card (3-fold),4,34,38
 Religious card,6,91,97
 Temporary Registration Card (white),2,5,7
 None,320,1427,1747
 Child under 10 years,701,3970,4671
 Total,4611,28254,32865
AREA # 090101,Aungmyetharzan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),186915,-,186915
 Associate Scrutiny Card (blue),506,-,506
 Naturalised Scrutiny Card (green),1070,-,1070
 National Registration Card (3-fold),1895,-,1895
 Religious card,4388,-,4388
 Temporary Registration Card (white),924,-,924
 Foreign Registration Card (FRC),161,-,161
 Foreign Passport,337,-,337
 None,34999,-,34999
 Child under 10 years,34584,-,34584
 Total,265779,-,265779
AREA # 090102,Chanayeharzan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),150903,-,150903
 Associate Scrutiny Card (blue),917,-,917
 Naturalised Scrutiny Card (green),1087,-,1087
 National Registration Card (3-fold),1151,-,1151
 Religious card,3120,-,3120
 Temporary Registration Card (white),447,-,447
 Foreign Registration Card (FRC),221,-,221
 Foreign Passport,785,-,785
 None,18100,-,18100
 Child under 10 years,20444,-,20444
 Total,197175,-,197175
AREA # 090103,Mahaaungmye,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),170846,-,170846
 Associate Scrutiny Card (blue),427,-,427
 Naturalised Scrutiny Card (green),782,-,782
 National Registration Card (3-fold),2281,-,2281
 Religious card,5258,-,5258
 Temporary Registration Card (white),388,-,388
 Foreign Registration Card (FRC),57,-,57
 Foreign Passport,299,-,299
 None,30348,-,30348
 Child under 10 years,30427,-,30427
 Total,241113,-,241113
AREA # 090104,Chanmyatharzi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),186799,-,186799
 Associate Scrutiny Card (blue),282,-,282
 Naturalised Scrutiny Card (green),650,-,650
 National Registration Card (3-fold),3126,-,3126
 Religious card,3451,-,3451
 Temporary Registration Card (white),688,-,688
 Foreign Registration Card (FRC),74,-,74
 Foreign Passport,173,-,173
 None,46382,-,46382
 Child under 10 years,42156,-,42156
 Total,283781,-,283781
AREA # 090105,Pyigyidagun,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),148532,-,148532
 Associate Scrutiny Card (blue),196,-,196
 Naturalised Scrutiny Card (green),520,-,520
 National Registration Card (3-fold),2119,-,2119
 Religious card,2787,-,2787
 Temporary Registration Card (white),392,-,392
 Foreign Registration Card (FRC),23,-,23
 Foreign Passport,87,-,87
 None,43593,-,43593
 Child under 10 years,39449,-,39449
 Total,237698,-,237698
AREA # 090106,Amarapura,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),54849,98881,153730
 Associate Scrutiny Card (blue),60,45,105
 Naturalised Scrutiny Card (green),61,239,300
 National Registration Card (3-fold),354,1102,1456
 Religious card,1544,863,2407
 Temporary Registration Card (white),346,576,922
 Foreign Registration Card (FRC),4,6,10
 Foreign Passport,14,120,134
 None,11839,28134,39973
 Child under 10 years,11753,26828,38581
 Total,80824,156794,237618
AREA # 090107,Patheingyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9612,147265,156877
 Associate Scrutiny Card (blue),4,98,102
 Naturalised Scrutiny Card (green),18,605,623
 National Registration Card (3-fold),58,2484,2542
 Religious card,44,1630,1674
 Temporary Registration Card (white),15,469,484
 Foreign Registration Card (FRC),-,20,20
 Foreign Passport,1,35,36
 None,1472,51384,52856
 Child under 10 years,1858,46653,48511
 Total,13082,250643,263725
AREA # 090201,Pyin Oo Lwin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),103301,61691,164992
 Associate Scrutiny Card (blue),271,37,308
 Naturalised Scrutiny Card (green),415,136,551
 National Registration Card (3-fold),1248,424,1672
 Religious card,852,514,1366
 Temporary Registration Card (white),1169,715,1884
 Foreign Registration Card (FRC),74,8,82
 Foreign Passport,100,31,131
 None,27983,16989,44972
 Child under 10 years,23370,16180,39550
 Total,158783,96725,255508
AREA # 090202,Madaya,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15797,127847,143644
 Associate Scrutiny Card (blue),3,62,65
 Naturalised Scrutiny Card (green),23,313,336
 National Registration Card (3-fold),80,1096,1176
 Religious card,273,792,1065
 Temporary Registration Card (white),21,203,224
 Foreign Registration Card (FRC),2,7,9
 Foreign Passport,-,19,19
 None,4383,59232,63615
 Child under 10 years,3652,44196,47848
 Total,24234,233767,258001
AREA # 090203,Sinku,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5158,78855,84013
 Associate Scrutiny Card (blue),2,58,60
 Naturalised Scrutiny Card (green),23,917,940
 National Registration Card (3-fold),70,5047,5117
 Religious card,84,707,791
 Temporary Registration Card (white),19,1370,1389
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,-,21,21
 None,873,34701,35574
 Child under 10 years,1164,28513,29677
 Total,7393,150192,157585
AREA # 090204,Mogok,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),46925,49834,96759
 Associate Scrutiny Card (blue),121,55,176
 Naturalised Scrutiny Card (green),403,406,809
 National Registration Card (3-fold),2428,3961,6389
 Religious card,521,453,974
 Temporary Registration Card (white),70,91,161
 Foreign Registration Card (FRC),54,22,76
 Foreign Passport,14,13,27
 None,14061,17552,31613
 Child under 10 years,13012,17153,30165
 Total,77609,89540,167149
AREA # 090205,Thabeikkyin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3084,58327,61411
 Associate Scrutiny Card (blue),-,43,43
 Naturalised Scrutiny Card (green),29,368,397
 National Registration Card (3-fold),171,2722,2893
 Religious card,36,242,278
 Temporary Registration Card (white),13,571,584
 Foreign Registration Card (FRC),-,5,5
 Foreign Passport,-,27,27
 None,1186,33347,34533
 Child under 10 years,1111,26550,27661
 Total,5630,122202,127832
AREA # 090251,Tagaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4050,12700,16750
 Associate Scrutiny Card (blue),1,11,12
 Naturalised Scrutiny Card (green),28,77,105
 National Registration Card (3-fold),145,407,552
 Religious card,24,66,90
 Temporary Registration Card (white),11,33,44
 Foreign Passport,-,2,2
 None,2323,8261,10584
 Child under 10 years,1553,6178,7731
 Total,8135,27735,35870
AREA # 090301,Kyaukse,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),28899,126654,155553
 Associate Scrutiny Card (blue),51,162,213
 Naturalised Scrutiny Card (green),72,425,497
 National Registration Card (3-fold),91,472,563
 Religious card,363,872,1235
 Temporary Registration Card (white),151,311,462
 Foreign Registration Card (FRC),4,2,6
 Foreign Passport,40,534,574
 None,5890,48115,54005
 Child under 10 years,5921,38878,44799
 Total,41482,216425,257907
AREA # 090302,Singaing,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6040,88252,94292
 Associate Scrutiny Card (blue),2,40,42
 Naturalised Scrutiny Card (green),7,301,308
 National Registration Card (3-fold),16,1034,1050
 Religious card,57,698,755
 Temporary Registration Card (white),17,256,273
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,3,105,108
 None,983,26385,27368
 Child under 10 years,1164,23556,24720
 Total,8290,140628,148918
AREA # 090303,Myitthar,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),13089,104841,117930
 Associate Scrutiny Card (blue),-,34,34
 Naturalised Scrutiny Card (green),10,205,215
 National Registration Card (3-fold),36,489,525
 Religious card,95,546,641
 Temporary Registration Card (white),19,271,290
 Foreign Registration Card (FRC),-,10,10
 Foreign Passport,4,26,30
 None,3130,38856,41986
 Child under 10 years,2959,31009,33968
 Total,19342,176287,195629
AREA # 090304,Tada U,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),8931,81098,90029
 Associate Scrutiny Card (blue),1,28,29
 Naturalised Scrutiny Card (green),1,133,134
 National Registration Card (3-fold),13,297,310
 Religious card,122,625,747
 Temporary Registration Card (white),10,155,165
 Foreign Passport,-,14,14
 None,1530,22277,23807
 Child under 10 years,1781,21601,23382
 Total,12389,126228,138617
AREA # 090401,Myingyan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),57962,123624,181586
 Associate Scrutiny Card (blue),58,22,80
 Naturalised Scrutiny Card (green),122,492,614
 National Registration Card (3-fold),398,1640,2038
 Religious card,742,795,1537
 Temporary Registration Card (white),687,461,1148
 Foreign Registration Card (FRC),19,2,21
 Foreign Passport,29,34,63
 None,14421,31973,46394
 Child under 10 years,13270,29345,42615
 Total,87708,188388,276096
AREA # 090402,Taungtha,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12432,126452,138884
 Associate Scrutiny Card (blue),-,35,35
 Naturalised Scrutiny Card (green),5,394,399
 National Registration Card (3-fold),93,1886,1979
 Religious card,113,637,750
 Temporary Registration Card (white),7,151,158
 Foreign Passport,4,33,37
 None,2232,33815,36047
 Child under 10 years,2642,35711,38353
 Total,17528,199114,216642
AREA # 090403,Natogyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9126,112077,121203
 Associate Scrutiny Card (blue),1,25,26
 Naturalised Scrutiny Card (green),3,150,153
 National Registration Card (3-fold),27,358,385
 Religious card,107,606,713
 Temporary Registration Card (white),6,63,69
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,1,29,30
 None,1610,24070,25680
 Child under 10 years,1937,26881,28818
 Total,12818,164260,177078
AREA # 090404,Kyaukpadaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),30235,141261,171496
 Associate Scrutiny Card (blue),9,24,33
 Naturalised Scrutiny Card (green),21,132,153
 National Registration Card (3-fold),31,406,437
 Religious card,650,1037,1687
 Temporary Registration Card (white),108,156,264
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,9,35,44
 None,5517,35835,41352
 Child under 10 years,6236,40205,46441
 Total,42817,219091,261908
AREA # 090405,Ngazun,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4768,75505,80273
 Associate Scrutiny Card (blue),2,36,38
 Naturalised Scrutiny Card (green),34,174,208
 National Registration Card (3-fold),30,1660,1690
 Religious card,74,535,609
 Temporary Registration Card (white),7,154,161
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,1,40,41
