Activity_status,Sex_Male,Sex_Female,Sex_Total
 Contributing family worker,1998,3186,5184
 Sought work,373,267,640
 Did not seek work,60,24,84
 Full time student,2457,2629,5086
 Household work,275,7671,7946
" Pensioner, retired, elderly person",1054,1645,2699
" Ill, disabled",116,106,222
 Other,531,277,808
 Total,19664,21871,41535
NotApp :,10607,*,*
AREA # 080204,Salin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2160,1672,3832
" Employee (Private, Org)",18978,16951,35929
 Employer,4605,2014,6619
 Own account worker,29361,18205,47566
 Contributing family worker,10599,21865,32464
 Sought work,1267,1355,2622
 Did not seek work,154,124,278
 Full time student,12636,12612,25248
 Household work,1176,23913,25089
" Pensioner, retired, elderly person",3744,6252,9996
" Ill, disabled",633,718,1351
 Other,2758,1421,4179
 Total,88071,107102,195173
NotApp :,40860,*,*
AREA # 080205,Saytottara,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1203,734,1937
" Employee (Private, Org)",2028,804,2832
 Employer,134,64,198
 Own account worker,8935,4855,13790
 Contributing family worker,2203,4333,6536
 Sought work,160,203,363
 Did not seek work,15,16,31
 Full time student,2163,2104,4267
 Household work,290,4644,4934
" Pensioner, retired, elderly person",1046,1395,2441
" Ill, disabled",147,187,334
 Other,535,242,777
 Total,18859,19581,38440
NotApp :,9086,*,*
AREA # 080301,Thayet,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2648,2044,4692
" Employee (Private, Org)",3655,2032,5687
 Employer,594,235,829
 Own account worker,17173,11812,28985
 Contributing family worker,4966,8309,13275
 Sought work,939,908,1847
 Did not seek work,91,55,146
 Full time student,4304,4496,8800
 Household work,453,11415,11868
" Pensioner, retired, elderly person",3112,4089,7201
" Ill, disabled",301,335,636
 Other,3505,1878,5383
 Total,41741,47608,89349
NotApp :,14998,*,*
AREA # 080302,Minhla,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3863,2633,6496
" Employee (Private, Org)",10624,3497,14121
 Employer,1493,384,1877
 Own account worker,26379,12997,39376
 Contributing family worker,6051,12139,18190
 Sought work,1210,902,2112
 Did not seek work,160,89,249
 Full time student,6262,6409,12671
 Household work,464,16237,16701
" Pensioner, retired, elderly person",3323,4938,8261
" Ill, disabled",299,312,611
 Other,1593,900,2493
 Total,61721,61437,123158
NotApp :,22924,*,*
AREA # 080303,Mindon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),705,578,1283
" Employee (Private, Org)",1559,1158,2717
 Employer,247,120,367
 Own account worker,10868,7931,18799
 Contributing family worker,4569,8231,12800
 Sought work,260,325,585
 Did not seek work,20,22,42
 Full time student,2273,2258,4531
 Household work,241,3152,3393
" Pensioner, retired, elderly person",1992,3015,5007
" Ill, disabled",235,225,460
 Other,599,239,838
 Total,23568,27254,50822
NotApp :,8535,*,*
AREA # 080304,Kamma,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),611,682,1293
" Employee (Private, Org)",4179,3205,7384
 Employer,968,524,1492
 Own account worker,14161,8598,22759
 Contributing family worker,3313,6203,9516
 Sought work,419,374,793
 Did not seek work,60,40,100
 Full time student,2834,2927,5761
 Household work,230,7615,7845
" Pensioner, retired, elderly person",1990,2786,4776
" Ill, disabled",244,262,506
 Other,1367,796,2163
 Total,30376,34012,64388
NotApp :,10807,*,*
AREA # 080305,Aunglan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2663,2145,4808
" Employee (Private, Org)",19330,12318,31648
 Employer,3151,1302,4453
 Own account worker,33399,17129,50528
 Contributing family worker,9312,15279,24591
 Sought work,1554,1304,2858
 Did not seek work,213,157,370
 Full time student,10435,10707,21142
 Household work,1039,32113,33152
" Pensioner, retired, elderly person",5784,8446,14230
" Ill, disabled",779,716,1495
 Other,4628,2808,7436
 Total,92287,104424,196711
NotApp :,38511,*,*
AREA # 080306,Sinpaungwe`,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1846,1794,3640
" Employee (Private, Org)",7976,4948,12924
 Employer,1829,416,2245
 Own account worker,16238,5449,21687
 Contributing family worker,6311,11302,17613
 Sought work,903,728,1631
 Did not seek work,61,50,111
 Full time student,5259,5170,10429
 Household work,441,16905,17346
" Pensioner, retired, elderly person",2527,3714,6241
" Ill, disabled",398,445,843
 Other,1619,949,2568
 Total,45408,51870,97278
NotApp :,20566,*,*
AREA # 080401,Pakokku,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),6414,7031,13445
" Employee (Private, Org)",28315,20065,48380
 Employer,4006,2098,6104
 Own account worker,24847,19932,44779
 Contributing family worker,6634,12543,19177
 Sought work,2898,2782,5680
 Did not seek work,456,344,800
 Full time student,18727,19429,38156
 Household work,1490,36746,38236
" Pensioner, retired, elderly person",6888,10018,16906
" Ill, disabled",1323,1343,2666
 Other,3929,2236,6165
 Total,105927,134567,240494
NotApp :,49645,*,*
AREA # 080402,Yesagyo,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1828,1973,3801
" Employee (Private, Org)",12383,10907,23290
 Employer,2250,1208,3458
 Own account worker,25064,22154,47218
 Contributing family worker,8817,18537,27354
 Sought work,1975,1816,3791
 Did not seek work,299,242,541
 Full time student,12527,13430,25957
 Household work,1083,21758,22841
" Pensioner, retired, elderly person",4599,7404,12003
" Ill, disabled",838,816,1654
 Other,3261,1602,4863
 Total,74924,101847,176771
NotApp :,38581,*,*
AREA # 080403,Myaing,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1573,1761,3334
" Employee (Private, Org)",15308,9405,24713
 Employer,1270,448,1718
 Own account worker,28399,11990,40389
 Contributing family worker,6572,12913,19485
 Sought work,3118,3082,6200
 Did not seek work,353,244,597
 Full time student,12579,14069,26648
 Household work,831,38429,39260
" Pensioner, retired, elderly person",5500,8504,14004
" Ill, disabled",916,949,1865
 Other,3099,1931,5030
 Total,79518,103725,183243
NotApp :,42528,*,*
AREA # 080404,Pauk,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1900,1265,3165
" Employee (Private, Org)",10586,6145,16731
 Employer,915,479,1394
 Own account worker,20828,7580,28408
 Contributing family worker,6802,9895,16697
 Sought work,2451,2606,5057
 Did not seek work,214,206,420
 Full time student,10437,10872,21309
 Household work,638,28107,28745
" Pensioner, retired, elderly person",3524,5256,8780
" Ill, disabled",728,789,1517
 Other,2068,1199,3267
 Total,61091,74399,135490
NotApp :,36024,*,*
AREA # 080405,Seikphyu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2220,1920,4140
" Employee (Private, Org)",4695,3293,7988
 Employer,785,199,984
 Own account worker,12482,4176,16658
 Contributing family worker,4472,5528,10000
 Sought work,1069,1004,2073
 Did not seek work,91,46,137
 Full time student,6398,6900,13298
 Household work,518,18118,18636
" Pensioner, retired, elderly person",1854,2888,4742
" Ill, disabled",293,320,613
 Other,1630,1131,2761
 Total,36507,45523,82030
NotApp :,20739,*,*
AREA # 080501,Gangaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2605,1904,4509
" Employee (Private, Org)",8415,4596,13011
 Employer,1268,534,1802
 Own account worker,20823,10803,31626
 Contributing family worker,5590,9567,15157
 Sought work,1318,1442,2760
 Did not seek work,176,115,291
 Full time student,7033,7962,14995
 Household work,332,16567,16899
" Pensioner, retired, elderly person",2867,3870,6737
" Ill, disabled",622,626,1248
 Other,1284,568,1852
 Total,52333,58554,110887
NotApp :,22408,*,*
AREA # 080502,Htilin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),691,753,1444
" Employee (Private, Org)",1382,635,2017
 Employer,330,111,441
 Own account worker,6791,2997,9788
 Contributing family worker,5277,9069,14346
 Sought work,319,446,765
 Did not seek work,15,16,31
 Full time student,2261,2420,4681
 Household work,176,3403,3579
" Pensioner, retired, elderly person",1397,2038,3435
" Ill, disabled",232,232,464
 Other,419,169,588
 Total,19290,22289,41579
NotApp :,7287,*,*
AREA # 080503,Saw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),681,506,1187
" Employee (Private, Org)",1867,888,2755
 Employer,117,79,196
 Own account worker,6287,3775,10062
 Contributing family worker,1824,3670,5494
 Sought work,242,405,647
 Did not seek work,20,10,30
 Full time student,1685,1964,3649
 Household work,93,2865,2958
" Pensioner, retired, elderly person",929,1171,2100
" Ill, disabled",130,124,254
 Other,207,108,315
 Total,14082,15565,29647
NotApp :,6185,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),445,507,952
" Employee (Private, Org)",1474,980,2454
 Employer,183,43,226
 Own account worker,5531,3640,9171
 Contributing family worker,2004,4307,6311
 Sought work,239,384,623
 Did not seek work,7,6,13
 Full time student,1664,1752,3416
 Household work,60,2143,2203
" Pensioner, retired, elderly person",1036,1184,2220
" Ill, disabled",175,179,354
 Other,142,109,251
 Total,12960,15234,28194
NotApp :,4671,*,*
AREA # 090101,Aungmyetharzan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),7541,5313,12854
" Employee (Private, Org)",39604,22673,62277
 Employer,3926,1624,5550
 Own account worker,21920,17859,39779
 Contributing family worker,3846,4438,8284
 Sought work,2229,1486,3715
 Did not seek work,509,384,893
 Full time student,15966,16276,32242
 Household work,1192,35876,37068
" Pensioner, retired, elderly person",6075,7867,13942
" Ill, disabled",701,547,1248
 Other,8870,4473,13343
 Total,112379,118816,231195
NotApp :,34584,*,*
AREA # 090102,Chanayeharzan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4244,5286,9530
" Employee (Private, Org)",26231,20526,46757
 Employer,3365,1726,5091
 Own account worker,18413,12111,30524
 Contributing family worker,3171,2650,5821
 Sought work,1881,1195,3076
 Did not seek work,425,203,628
 Full time student,12878,13364,26242
 Household work,1161,27276,28437
" Pensioner, retired, elderly person",4547,6190,10737
" Ill, disabled",457,372,829
 Other,6046,3013,9059
 Total,82819,93912,176731
NotApp :,20444,*,*
AREA # 090103,Mahaaungmye,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3284,4504,7788
" Employee (Private, Org)",31249,20167,51416
 Employer,3699,1572,5271
 Own account worker,25610,15076,40686
 Contributing family worker,3484,2765,6249
 Sought work,2663,1812,4475
 Did not seek work,721,446,1167
 Full time student,14606,15858,30464
 Household work,1403,37281,38684
" Pensioner, retired, elderly person",5011,6590,11601
" Ill, disabled",662,532,1194
 Other,8888,2803,11691
 Total,101280,109406,210686
NotApp :,30427,*,*
AREA # 090104,Chanmyatharzi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4310,4678,8988
" Employee (Private, Org)",44587,22964,67551
 Employer,3545,1287,4832
 Own account worker,25099,17547,42646
 Contributing family worker,4642,4462,9104
 Sought work,2743,1941,4684
 Did not seek work,594,248,842
 Full time student,17218,17925,35143
 Household work,1389,42756,44145
" Pensioner, retired, elderly person",6701,8400,15101
" Ill, disabled",810,629,1439
 Other,4551,2599,7150
 Total,116189,125436,241625
NotApp :,42156,*,*
AREA # 090105,Pyigyidagun,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2346,2093,4439
" Employee (Private, Org)",50468,21368,71836
 Employer,4226,924,5150
 Own account worker,14249,11573,25822
 Contributing family worker,2251,2049,4300
 Sought work,1832,1201,3033
 Did not seek work,364,322,686
 Full time student,12873,13253,26126
 Household work,952,36070,37022
" Pensioner, retired, elderly person",4576,5642,10218
" Ill, disabled",606,431,1037
 Other,5942,2638,8580
 Total,100685,97564,198249
NotApp :,39449,*,*
AREA # 090106,Amarapura,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4196,2640,6836
" Employee (Private, Org)",38550,23476,62026
 Employer,2820,1549,4369
 Own account worker,17598,17494,35092
 Contributing family worker,2976,4686,7662
 Sought work,1470,884,2354
 Did not seek work,406,198,604
 Full time student,11735,12097,23832
 Household work,1037,30053,31090
" Pensioner, retired, elderly person",5602,6934,12536
" Ill, disabled",761,667,1428
 Other,7792,3416,11208
 Total,94943,104094,199037
NotApp :,38581,*,*
AREA # 090107,Patheingyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4650,3254,7904
" Employee (Private, Org)",45671,25685,71356
 Employer,3233,2349,5582
 Own account worker,18477,16733,35210
 Contributing family worker,3781,3950,7731
 Sought work,1428,918,2346
 Did not seek work,428,243,671
 Full time student,12420,12801,25221
 Household work,1149,33722,34871
" Pensioner, retired, elderly person",4937,6416,11353
" Ill, disabled",632,564,1196
 Other,7529,4244,11773
 Total,104335,110879,215214
NotApp :,48511,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),13274,3670,16944
" Employee (Private, Org)",27592,16468,44060
 Employer,2498,1248,3746
 Own account worker,26846,17012,43858
 Contributing family worker,7430,10543,17973
 Sought work,1725,1175,2900
 Did not seek work,501,360,861
 Full time student,16204,16154,32358
 Household work,928,31840,32768
" Pensioner, retired, elderly person",5408,6110,11518
" Ill, disabled",573,483,1056
 Other,5038,2878,7916
 Total,108017,107941,215958
NotApp :,39550,*,*
AREA # 090202,Madaya,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1788,1684,3472
" Employee (Private, Org)",32626,20332,52958
 Employer,3070,1048,4118
 Own account worker,29225,16467,45692
 Contributing family worker,7659,11401,19060
 Sought work,2092,1557,3649
 Did not seek work,371,218,589
 Full time student,11890,12033,23923
 Household work,1453,37257,38710
" Pensioner, retired, elderly person",4498,7120,11618
" Ill, disabled",718,676,1394
 Other,3490,1480,4970
 Total,98880,111273,210153
NotApp :,47848,*,*
AREA # 090203,Sinku,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1026,964,1990
" Employee (Private, Org)",16247,6428,22675
 Employer,1192,458,1650
 Own account worker,19855,7519,27374
 Contributing family worker,5696,6876,12572
 Sought work,2287,1313,3600
 Did not seek work,241,158,399
 Full time student,7668,8040,15708
 Household work,1044,27716,28760
" Pensioner, retired, elderly person",3066,4417,7483
" Ill, disabled",383,304,687
 Other,3066,1944,5010
 Total,61771,66137,127908
NotApp :,29677,*,*
AREA # 090204,Mogok,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),871,1155,2026
" Employee (Private, Org)",21050,4580,25630
 Employer,884,392,1276
 Own account worker,20933,13481,34414
 Contributing family worker,3260,3368,6628
 Sought work,2617,1417,4034
 Did not seek work,338,197,535
 Full time student,11922,12747,24669
 Household work,802,23260,24062
" Pensioner, retired, elderly person",3608,5224,8832
" Ill, disabled",576,399,975
 Other,2726,1177,3903
 Total,69587,67397,136984
NotApp :,30165,*,*
AREA # 090205,Thabeikkyin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2365,533,2898
" Employee (Private, Org)",16956,6468,23424
 Employer,1486,398,1884
 Own account worker,14070,6490,20560
 Contributing family worker,4346,4747,9093
 Sought work,1141,531,1672
 Did not seek work,245,120,365
 Full time student,6806,6799,13605
 Household work,612,18820,19432
" Pensioner, retired, elderly person",1479,2335,3814
" Ill, disabled",254,208,462
 Other,1914,1048,2962
 Total,51674,48497,100171
NotApp :,27661,*,*
AREA # 090251,Tagaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),173,103,276
" Employee (Private, Org)",3450,2230,5680
 Employer,481,173,654
 Own account worker,4752,1583,6335
 Contributing family worker,1562,1560,3122
 Sought work,334,257,591
 Did not seek work,72,36,108
 Full time student,1803,1845,3648
 Household work,262,5798,6060
" Pensioner, retired, elderly person",320,601,921
" Ill, disabled",70,53,123
 Other,469,152,621
 Total,13748,14391,28139
NotApp :,7731,*,*
AREA # 090301,Kyaukse,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4303,4504,8807
" Employee (Private, Org)",35071,17638,52709
 Employer,3983,1451,5434
 Own account worker,26175,11751,37926
 Contributing family worker,5377,5610,10987
 Sought work,3243,2120,5363
 Did not seek work,450,231,681
 Full time student,12812,12789,25601
 Household work,1715,45964,47679
" Pensioner, retired, elderly person",4719,6797,11516
