Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total
AREA # 050702,Phaungpyin,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,30,5,1,1,1,-,3,-,-,1,1,1,-,-,-,2,-,-,2,-,4,4,1,-,1,-,3,-,6,3,1,4,4,4,3,8,4,6,1,2,1,4,4,3,6,3,6,3,4,4,2,3,2,3,1,4,5,1,3,2,3,1,2,3,3,2,5,2,5,1,6,4,6,9,3,4,6,1,1,1,-,2,2,2,2,-,1,-,-,1,3,252
 Female,24,-,-,1,3,-,-,-,2,1,-,-,1,-,2,1,1,-,2,2,2,-,1,-,1,-,1,-,-,1,2,1,-,1,1,-,4,2,1,-,3,1,2,2,2,1,2,1,2,1,3,2,2,4,2,3,3,1,-,1,3,3,7,2,4,5,7,4,3,2,2,2,1,5,6,6,7,8,6,1,3,1,1,3,7,3,4,2,3,2,6,215
 Total,54,5,1,2,4,-,3,-,2,2,1,1,1,-,2,3,1,-,4,2,6,4,2,-,2,-,4,-,6,4,3,5,4,5,4,8,8,8,2,2,4,5,6,5,8,4,8,4,6,5,5,5,4,7,3,7,8,2,3,3,6,4,9,5,7,7,12,6,8,3,8,6,7,14,9,10,13,9,7,2,3,3,3,5,9,3,5,2,3,3,9,467
AREA # 050801,Hkamti,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,25,-,3,2,1,-,-,-,-,1,2,1,-,-,-,-,-,-,1,1,-,-,2,-,1,1,1,-,1,1,1,4,4,2,1,2,5,2,4,2,2,2,1,2,2,5,1,-,-,1,5,-,2,1,2,1,1,3,1,-,2,1,2,2,1,1,-,1,1,1,2,1,-,1,-,1,1,-,1,2,-,1,-,-,-,-,-,-,1,-,4,130
 Female,16,1,1,1,1,3,1,1,-,-,-,1,-,-,-,1,-,-,-,3,-,1,1,1,1,1,-,-,1,2,1,1,-,-,1,-,-,1,-,-,1,2,-,-,-,1,2,1,1,1,2,-,-,1,1,1,-,1,-,1,6,1,2,1,-,1,1,1,2,-,1,3,1,1,1,3,-,-,1,-,1,-,2,3,1,-,1,-,-,1,3,96
 Total,41,1,4,3,2,3,1,1,-,1,2,2,-,-,-,1,-,-,1,4,-,1,3,1,2,2,1,-,2,3,2,5,4,2,2,2,5,3,4,2,3,4,1,2,2,6,3,1,1,2,7,-,2,2,3,2,1,4,1,1,8,2,4,3,1,2,1,2,3,1,3,4,1,2,1,4,1,-,2,2,1,1,2,3,1,-,1,-,1,1,7,226
AREA # 050802,Homalin,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,96,12,6,1,2,2,2,4,2,-,2,2,-,3,1,2,5,4,2,2,3,-,4,2,1,3,5,6,2,1,9,3,4,9,7,5,7,4,-,8,8,7,12,11,6,7,9,6,13,3,5,6,6,6,7,6,7,5,2,7,7,4,6,8,7,8,12,4,7,6,8,2,13,5,4,7,7,5,7,1,2,4,5,9,2,5,4,-,2,3,3,539
 Female,63,13,-,10,2,1,-,1,3,4,-,1,2,-,2,1,-,1,-,2,1,2,1,-,2,-,1,1,1,-,4,5,1,1,1,4,3,2,-,1,5,5,5,1,3,1,8,5,6,6,4,4,-,3,5,5,6,3,5,2,-,5,9,2,9,3,9,6,4,7,6,7,10,9,5,14,11,3,11,4,8,7,7,4,6,5,7,5,4,2,8,416
 Total,159,25,6,11,4,3,2,5,5,4,2,3,2,3,3,3,5,5,2,4,4,2,5,2,3,3,6,7,3,1,13,8,5,10,8,9,10,6,-,9,13,12,17,12,9,8,17,11,19,9,9,10,6,9,12,11,13,8,7,9,7,9,15,10,16,11,21,10,11,13,14,9,23,14,9,21,18,8,18,5,10,11,12,13,8,10,11,5,6,5,11,955
AREA # 050803,Leshi,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,3,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18
 Female,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,8
 Total,4,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,-,2,-,-,1,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,26
AREA # 050804,Lahe,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,20,3,5,2,2,3,1,3,-,2,1,2,4,-,-,1,1,-,2,1,1,1,1,-,1,2,2,-,1,1,-,-,1,1,-,1,-,1,1,1,-,2,2,2,1,1,-,-,-,-,2,-,-,-,1,1,1,1,-,1,8,5,1,4,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,2,109
 Female,9,3,4,1,3,5,3,1,-,2,1,-,2,2,1,-,-,2,2,-,-,1,1,1,-,3,2,1,1,-,1,2,1,-,-,2,1,-,1,-,6,-,1,-,-,2,1,1,-,3,2,-,2,3,-,3,1,-,1,3,5,-,-,-,1,1,-,-,-,-,2,-,2,-,-,1,3,-,1,-,4,-,-,-,-,2,-,-,-,-,3,113
 Total,29,6,9,3,5,8,4,4,-,4,2,2,6,2,1,1,1,2,4,1,1,2,2,1,1,5,4,1,2,1,1,2,2,1,-,3,1,1,2,1,6,2,3,2,1,3,1,1,-,3,4,-,2,3,1,4,2,1,1,4,13,5,1,4,1,1,-,-,2,-,2,-,2,-,-,1,3,-,2,-,4,-,-,-,-,4,-,-,-,-,5,222
AREA # 050805,Nanyun,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
 Female,1,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9
 Total,1,2,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13
AREA # 050851,Mobaingluk(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2
 Female,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
 Total,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4
AREA # 050852,Sonemara(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
 Female,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,9
 Total,5,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,20
AREA # 050853,Htanparkway(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,2,1,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,2,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,18
 Female,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,1,-,-,2,-,1,-,-,-,-,-,-,-,1,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,19
 Total,3,1,1,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,1,-,1,-,-,-,1,-,1,3,-,3,-,-,-,-,2,-,-,2,-,2,1,-,1,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,37
AREA # 050854,Pansaung(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,2,1,1,1,-,1,-,1,1,-,2,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,25
 Female,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,1,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
 Total,4,2,1,1,-,1,-,1,1,-,2,1,-,-,-,1,-,-,-,-,1,-,1,-,-,1,-,-,1,-,2,-,1,-,-,2,-,-,1,-,1,1,-,1,-,1,-,-,-,-,-,-,-,1,2,-,3,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,39
AREA # 050855,Donhee(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,1,-,-,1,-,1,1,1,-,-,-,-,-,1,-,1,-,-,-,-,3,-,1,-,-,-,-,1,1,-,-,-,-,1,1,1,-,-,1,-,-,2,-,-,-,1,-,-,1,-,1,-,-,-,-,-,2,1,-,1,2,-,-,-,1,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32
 Female,1,2,3,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,3,3,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23
 Total,2,2,3,1,-,1,1,2,1,1,-,-,-,1,-,1,-,-,-,-,3,-,1,-,-,1,-,1,1,-,-,-,1,1,1,1,-,1,1,-,-,2,-,1,3,4,-,-,1,-,2,-,-,-,-,1,2,1,-,1,2,-,-,-,2,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55
AREA # 050901,Yinmarpin,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
