Sex,Occupation_Chief_executive_senior_officials_and_legislators,Occupation_Administrative_and_commercial_managers,Occupation_Production_and_specialized_services_managers,"Occupation_Hospitality,_retail_and_other_services_managers",Occupation_Science_and_engineering_professionals,Occupation_Health_professionals,Occupation_Teaching_professionals,Occupation_Business_and_administrative_professionals,Occupation_Information_and_communications_technology_professionals,"Occupation_Legal,_social_and_cultural_professionals",Occupation_Science_and_engineering_associate_professionals,Occupation_Health_associate_professionals,Occupation_Business_and_administrative_associate_professionals,"Occupation_Legal,_social_and_cultural_and_related_associate_professionals",Occupation_Information_and_communications_technicians,Occupation_General_and_keyboard_clerks,Occupation_Customer_services_clerks,Occupation_Numerical_and_material_recording_clerks,Occupation_Other_clerical_support_workers,Occupation_Personal_service_workers,Occupation_Sales_workers,Occupation_Personal_care_workers,Occupation_Protective_services_workers,Occupation_Market-oriented_skilled_agricultural_workers,"Occupation_Market-oriented_skilled_forestry,_fishery_and_hunting_workers","Occupation_Subsistence_farmers,_fishers,_hunters_and_gatherers","Occupation_Building_and_related_trades_workers,_excluding_electricians","Occupation_Metal,_machinery_and_related_trades_workers",Occupation_Handicraft_and_printing_workers,Occupation_Electrical_and_electronic_trades_workers,"Occupation_Food_processing,_wood_working,_garment_and_other_craft_and_related_trades_workers",Occupation_Stationary_plant_and_machine_operators,Occupation_Assemblers,Occupation_Drivers_and_mobile_plant_operators,Occupation_Cleaners_and_helpers,Occupation_Agricultural_forestry_and_fishery_labourers,"Occupation_Labourers_in_mining_,_construction,_manufacturing_and_transport",Occupation_Food_preparation_assistants,Occupation_Street_and_related_sales_and_service_workers,Occupation_Refuse_workers_and_other_elementary_workers,Occupation_Not_stated,Occupation_Total
AREA # 060203,Palaw,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,40,21,5,2,45,8,67,1,-,16,1,6,284,31,6,106,9,4,35,136,750,10,45,6610,5479,536,1435,201,87,37,393,166,5,797,12,1742,270,-,3,1607,2105,23113
 Female,3,74,-,-,-,9,956,5,-,8,1,84,267,15,2,112,17,4,63,37,2484,14,1,1841,358,25,33,2,35,2,596,94,-,8,29,947,134,2,3,1517,2183,11965
 Total,43,95,5,2,45,17,1023,6,-,24,2,90,551,46,8,218,26,8,98,173,3234,24,46,8451,5837,561,1468,203,122,39,989,260,5,805,41,2689,404,2,6,3124,4288,35078
NotApp :,58360,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 060204,Tanintharyi,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,53,27,7,2,22,6,79,1,-,6,2,14,433,12,5,82,4,7,39,79,499,5,43,18271,338,36,662,113,101,17,252,49,8,438,14,1696,115,-,1,1429,2711,27678
 Female,3,54,1,3,-,3,441,4,-,3,1,84,194,8,-,76,4,1,56,81,1855,10,2,6419,33,3,19,3,44,1,393,8,-,10,26,603,42,-,-,612,2652,13752
 Total,56,81,8,5,22,9,520,5,-,9,3,98,627,20,5,158,8,8,95,160,2354,15,45,24690,371,39,681,116,145,18,645,57,8,448,40,2299,157,-,1,2041,5363,41430
NotApp :,65423,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 060251,Palauk(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,102,5,-,1,10,3,12,-,-,9,-,6,146,18,-,20,1,1,18,12,154,1,8,3891,1074,106,329,39,37,4,95,18,-,209,16,173,75,-,-,246,424,7263
 Female,2,21,-,-,-,3,157,-,-,2,-,23,88,12,1,16,4,-,13,19,506,7,-,545,43,2,34,-,18,1,153,3,-,3,33,47,35,-,-,87,1146,3024
 Total,104,26,-,1,10,6,169,-,-,11,-,29,234,30,1,36,5,1,31,31,660,8,8,4436,1117,108,363,39,55,5,248,21,-,212,49,220,110,-,-,333,1570,10287
NotApp :,26267,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 060301,Kawthoung,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,136,34,31,36,22,25,48,5,-,71,8,19,948,52,6,233,230,17,125,283,2579,10,141,5406,8097,129,2159,657,140,128,299,117,5,3551,160,1765,697,3,7,1630,2459,32468
 Female,7,31,5,4,5,13,614,14,-,39,1,65,131,22,5,230,204,11,84,214,5061,17,6,1728,494,4,95,14,16,9,466,38,1,35,138,770,96,-,1,571,1872,13131
 Total,143,65,36,40,27,38,662,19,-,110,9,84,1079,74,11,463,434,28,209,497,7640,27,147,7134,8591,133,2254,671,156,137,765,155,6,3586,298,2535,793,3,8,2201,4331,45599
NotApp :,71381,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 060302,Bokepyin,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,15,12,20,6,4,4,14,1,-,2,4,3,459,6,1,81,3,12,62,40,429,8,40,3071,4040,485,415,151,46,19,103,69,-,461,15,860,218,-,-,514,848,12541
 Female,1,12,1,-,1,2,173,2,-,1,-,27,36,3,-,75,1,5,25,11,1020,6,2,1040,423,41,19,2,9,-,117,9,-,5,23,251,23,-,-,179,622,4167
 Total,16,24,21,6,5,6,187,3,-,3,4,30,495,9,1,156,4,17,87,51,1449,14,42,4111,4463,526,434,153,55,19,220,78,-,466,38,1111,241,-,-,693,1470,16708
NotApp :,30113,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 060351,Khamaukgyi,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,64,-,22,4,5,1,6,-,-,3,1,-,224,4,2,17,3,2,18,35,155,1,16,2461,206,10,289,82,53,2,33,76,-,388,4,1654,64,-,-,663,405,6973
 Female,1,7,-,-,-,1,50,6,-,-,-,12,7,1,-,12,-,5,13,16,467,1,1,779,17,1,44,1,25,-,61,10,-,5,4,840,23,-,-,287,364,3061
 Total,65,7,22,4,5,2,56,6,-,3,1,12,231,5,2,29,3,7,31,51,622,2,17,3240,223,11,333,83,78,2,94,86,-,393,8,2494,87,-,-,950,769,10034
NotApp :,13006,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 060352,Pyigyimandaing,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,28,3,3,1,6,1,8,-,-,2,-,3,124,2,-,34,1,-,9,12,80,1,20,1796,705,15,63,23,2,1,37,5,-,94,17,477,30,-,-,159,542,4304
