Identity_card,Sex_Male,Sex_Female,Sex_Total
 Citizenship Scrutiny Card (pink),20688,24447,45135
 Associate Scrutiny Card (blue),2,4,6
 Naturalised Scrutiny Card (green),26,5,31
 National Registration Card (3-fold),46,70,116
 Religious card,225,34,259
 Temporary Registration Card (white),39,27,66
 Foreign Passport,1,1,2
 None,2541,2666,5207
 Child under 10 years,4393,4142,8535
 Total,27961,31396,59357
AREA # 080304,Kamma,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),24080,26741,50821
 Associate Scrutiny Card (blue),10,7,17
 Naturalised Scrutiny Card (green),40,32,72
 National Registration Card (3-fold),71,103,174
 Religious card,243,10,253
 Temporary Registration Card (white),16,25,41
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,2,4,6
 None,5913,7089,13002
 Child under 10 years,5478,5329,10807
 Total,35854,39341,75195
AREA # 080305,Aunglan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),63188,64460,127648
 Associate Scrutiny Card (blue),79,87,166
 Naturalised Scrutiny Card (green),276,188,464
 National Registration Card (3-fold),1294,2466,3760
 Religious card,815,112,927
 Temporary Registration Card (white),102,137,239
 Foreign Registration Card (FRC),13,7,20
 Foreign Passport,37,30,67
 None,26483,36937,63420
 Child under 10 years,19478,19033,38511
 Total,111765,123457,235222
AREA # 080306,Sinpaungwe`,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),36707,40084,76791
 Associate Scrutiny Card (blue),7,13,20
 Naturalised Scrutiny Card (green),44,46,90
 National Registration Card (3-fold),319,620,939
 Religious card,330,12,342
 Temporary Registration Card (white),25,19,44
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,4,2,6
 None,7972,11073,19045
 Child under 10 years,10381,10185,20566
 Total,55789,62055,117844
AREA # 080401,Pakokku,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),84007,108089,192096
 Associate Scrutiny Card (blue),45,52,97
 Naturalised Scrutiny Card (green),212,127,339
 National Registration Card (3-fold),629,1134,1763
 Religious card,1539,309,1848
 Temporary Registration Card (white),129,134,263
 Foreign Registration Card (FRC),4,2,6
 Foreign Passport,25,50,75
 None,19337,24670,44007
 Child under 10 years,24814,24831,49645
 Total,130741,159398,290139
AREA # 080402,Yesagyo,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),58610,76822,135432
 Associate Scrutiny Card (blue),16,17,33
 Naturalised Scrutiny Card (green),125,105,230
 National Registration Card (3-fold),404,697,1101
 Religious card,914,57,971
 Temporary Registration Card (white),46,62,108
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,17,14,31
 None,14790,24071,38861
 Child under 10 years,19429,19152,38581
 Total,94353,120999,215352
AREA # 080403,Myaing,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),59818,73443,133261
 Associate Scrutiny Card (blue),17,12,29
 Naturalised Scrutiny Card (green),139,72,211
 National Registration Card (3-fold),701,1145,1846
 Religious card,739,31,770
 Temporary Registration Card (white),29,43,72
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,56,24,80
 None,18018,28955,46973
 Child under 10 years,21336,21192,42528
 Total,100854,124917,225771
AREA # 080404,Pauk,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),47563,56072,103635
 Associate Scrutiny Card (blue),6,9,15
 Naturalised Scrutiny Card (green),45,26,71
 National Registration Card (3-fold),77,99,176
 Religious card,495,24,519
 Temporary Registration Card (white),111,107,218
 Foreign Registration Card (FRC),-,4,4
 Foreign Passport,23,11,34
 None,12771,18047,30818
 Child under 10 years,17939,18085,36024
 Total,79030,92484,171514
AREA # 080405,Seikphyu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),28565,34896,63461
 Associate Scrutiny Card (blue),6,7,13
 Naturalised Scrutiny Card (green),56,34,90
 National Registration Card (3-fold),113,207,320
 Religious card,305,27,332
 Temporary Registration Card (white),20,42,62
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,63,11,74
 None,7379,10298,17677
 Child under 10 years,10402,10337,20739
 Total,46909,55860,102769
AREA # 080501,Gangaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),43127,49147,92274
 Associate Scrutiny Card (blue),7,14,21
 Naturalised Scrutiny Card (green),66,26,92
 National Registration Card (3-fold),152,192,344
 Religious card,448,53,501
 Temporary Registration Card (white),32,42,74
 Foreign Registration Card (FRC),6,1,7
 Foreign Passport,4,7,11
 None,8491,9072,17563
 Child under 10 years,11087,11321,22408
 Total,63420,69875,133295
AREA # 080502,Htilin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),17469,20624,38093
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),3,4,7
 National Registration Card (3-fold),7,6,13
 Religious card,211,27,238
 Temporary Registration Card (white),41,27,68
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,4,2,6
 None,1553,1598,3151
 Child under 10 years,3569,3718,7287
 Total,22859,26007,48866
AREA # 080503,Saw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),12490,14165,26655
 Associate Scrutiny Card (blue),1,3,4
 Naturalised Scrutiny Card (green),9,2,11
 National Registration Card (3-fold),14,11,25
 Religious card,151,26,177
 Temporary Registration Card (white),7,7,14
 Foreign Passport,1,1,2
 None,1409,1350,2759
 Child under 10 years,3127,3058,6185
 Total,17209,18623,35832
AREA # 080551,Kyaukhtu(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),11945,14335,26280
 Associate Scrutiny Card (blue),4,4,8
 Naturalised Scrutiny Card (green),10,7,17
 National Registration Card (3-fold),18,20,38
 Religious card,92,5,97
 Temporary Registration Card (white),3,4,7
 None,888,859,1747
 Child under 10 years,2377,2294,4671
 Total,15337,17528,32865
AREA # 090101,Aungmyetharzan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),87617,99298,186915
 Associate Scrutiny Card (blue),247,259,506
 Naturalised Scrutiny Card (green),603,467,1070
 National Registration Card (3-fold),847,1048,1895
 Religious card,3581,807,4388
 Temporary Registration Card (white),400,524,924
 Foreign Registration Card (FRC),82,79,161
 Foreign Passport,176,161,337
 None,18826,16173,34999
 Child under 10 years,17580,17004,34584
 Total,129959,135820,265779
AREA # 090102,Chanayeharzan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),67400,83503,150903
 Associate Scrutiny Card (blue),462,455,917
 Naturalised Scrutiny Card (green),577,510,1087
 National Registration Card (3-fold),529,622,1151
 Religious card,2996,124,3120
 Temporary Registration Card (white),291,156,447
 Foreign Registration Card (FRC),102,119,221
 Foreign Passport,565,220,785
 None,9897,8203,18100
 Child under 10 years,10426,10018,20444
 Total,93245,103930,197175
AREA # 090103,Mahaaungmye,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),78076,92770,170846
 Associate Scrutiny Card (blue),197,230,427
 Naturalised Scrutiny Card (green),473,309,782
 National Registration Card (3-fold),898,1383,2281
 Religious card,5199,59,5258
 Temporary Registration Card (white),181,207,388
 Foreign Registration Card (FRC),30,27,57
 Foreign Passport,186,113,299
 None,16040,14308,30348
 Child under 10 years,15623,14804,30427
 Total,116903,124210,241113
AREA # 090104,Chanmyatharzi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),86961,99838,186799
 Associate Scrutiny Card (blue),134,148,282
 Naturalised Scrutiny Card (green),420,230,650
 National Registration Card (3-fold),1305,1821,3126
 Religious card,3432,19,3451
 Temporary Registration Card (white),276,412,688
 Foreign Registration Card (FRC),48,26,74
 Foreign Passport,132,41,173
 None,23481,22901,46382
 Child under 10 years,21339,20817,42156
 Total,137528,146253,283781
AREA # 090105,Pyigyidagun,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),74212,74320,148532
 Associate Scrutiny Card (blue),101,95,196
 Naturalised Scrutiny Card (green),358,162,520
 National Registration Card (3-fold),841,1278,2119
 Religious card,2164,623,2787
 Temporary Registration Card (white),175,217,392
 Foreign Registration Card (FRC),16,7,23
 Foreign Passport,69,18,87
 None,22749,20844,43593
 Child under 10 years,20109,19340,39449
 Total,120794,116904,237698
AREA # 090106,Amarapura,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),71849,81881,153730
 Associate Scrutiny Card (blue),63,42,105
 Naturalised Scrutiny Card (green),206,94,300
 National Registration Card (3-fold),670,786,1456
 Religious card,2089,318,2407
 Temporary Registration Card (white),373,549,922
 Foreign Registration Card (FRC),3,7,10
 Foreign Passport,107,27,134
 None,19583,20390,39973
 Child under 10 years,19538,19043,38581
 Total,114481,123137,237618
AREA # 090107,Patheingyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),75918,80959,156877
 Associate Scrutiny Card (blue),62,40,102
 Naturalised Scrutiny Card (green),407,216,623
 National Registration Card (3-fold),1085,1457,2542
 Religious card,1540,134,1674
 Temporary Registration Card (white),233,251,484
 Foreign Registration Card (FRC),17,3,20
 Foreign Passport,14,22,36
 None,25059,27797,52856
 Child under 10 years,24669,23842,48511
 Total,129004,134721,263725
AREA # 090201,Pyin Oo Lwin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),82133,82859,164992
 Associate Scrutiny Card (blue),161,147,308
 Naturalised Scrutiny Card (green),343,208,551
 National Registration Card (3-fold),768,904,1672
 Religious card,1178,188,1366
 Temporary Registration Card (white),854,1030,1884
 Foreign Registration Card (FRC),45,37,82
 Foreign Passport,83,48,131
 None,22452,22520,44972
 Child under 10 years,20010,19540,39550
 Total,128027,127481,255508
AREA # 090202,Madaya,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),68032,75612,143644
 Associate Scrutiny Card (blue),27,38,65
 Naturalised Scrutiny Card (green),245,91,336
 National Registration Card (3-fold),544,632,1176
 Religious card,996,69,1065
 Temporary Registration Card (white),103,121,224
 Foreign Registration Card (FRC),3,6,9
 Foreign Passport,7,12,19
 None,28923,34692,63615
 Child under 10 years,23999,23849,47848
 Total,122879,135122,258001
AREA # 090203,Sinku,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),40867,43146,84013
 Associate Scrutiny Card (blue),26,34,60
 Naturalised Scrutiny Card (green),644,296,940
 National Registration Card (3-fold),2569,2548,5117
 Religious card,735,56,791
 Temporary Registration Card (white),544,845,1389
 Foreign Registration Card (FRC),2,1,3
 Foreign Passport,11,10,21
 None,16373,19201,35574
 Child under 10 years,15003,14674,29677
 Total,76774,80811,157585
AREA # 090204,Mogok,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),48981,47778,96759
 Associate Scrutiny Card (blue),77,99,176
 Naturalised Scrutiny Card (green),511,298,809
 National Registration Card (3-fold),2995,3394,6389
 Religious card,919,55,974
 Temporary Registration Card (white),103,58,161
 Foreign Registration Card (FRC),31,45,76
 Foreign Passport,13,14,27
 None,15957,15656,31613
 Child under 10 years,15305,14860,30165
 Total,84892,82257,167149
AREA # 090205,Thabeikkyin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),33062,28349,61411
 Associate Scrutiny Card (blue),28,15,43
 Naturalised Scrutiny Card (green),299,98,397
 National Registration Card (3-fold),1389,1504,2893
 Religious card,259,19,278
 Temporary Registration Card (white),342,242,584
 Foreign Registration Card (FRC),5,-,5
 Foreign Passport,21,6,27
 None,16269,18264,34533
 Child under 10 years,13945,13716,27661
 Total,65619,62213,127832
AREA # 090251,Tagaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),8527,8223,16750
 Associate Scrutiny Card (blue),7,5,12
 Naturalised Scrutiny Card (green),84,21,105
 National Registration Card (3-fold),260,292,552
 Religious card,84,6,90
 Temporary Registration Card (white),28,16,44
 Foreign Passport,-,2,2
 None,4758,5826,10584
 Child under 10 years,3861,3870,7731
 Total,17609,18261,35870
AREA # 090301,Kyaukse,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),73741,81812,155553
 Associate Scrutiny Card (blue),108,105,213
 Naturalised Scrutiny Card (green),309,188,497
 National Registration Card (3-fold),264,299,563
 Religious card,1111,124,1235
 Temporary Registration Card (white),215,247,462
 Foreign Registration Card (FRC),6,-,6
 Foreign Passport,526,48,574
 None,25570,28435,54005
 Child under 10 years,22689,22110,44799
 Total,124539,133368,257907
AREA # 090302,Singaing,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),44272,50020,94292
 Associate Scrutiny Card (blue),17,25,42
 Naturalised Scrutiny Card (green),201,107,308
 National Registration Card (3-fold),464,586,1050
 Religious card,666,89,755
 Temporary Registration Card (white),157,116,273
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,76,32,108
 None,12742,14626,27368
 Child under 10 years,12565,12155,24720
 Total,71161,77757,148918
AREA # 090303,Myitthar,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),56153,61777,117930
 Associate Scrutiny Card (blue),15,19,34
 Naturalised Scrutiny Card (green),137,78,215
 National Registration Card (3-fold),224,301,525
 Religious card,618,23,641
 Temporary Registration Card (white),120,170,290
 Foreign Registration Card (FRC),5,5,10
 Foreign Passport,11,19,30
 None,18273,23713,41986
 Child under 10 years,17116,16852,33968
 Total,92672,102957,195629
AREA # 090304,Tada U,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41301,48728,90029
 Associate Scrutiny Card (blue),14,15,29
 Naturalised Scrutiny Card (green),74,60,134
 National Registration Card (3-fold),126,184,310
 Religious card,728,19,747
 Temporary Registration Card (white),69,96,165
 Foreign Passport,3,11,14
 None,10542,13265,23807
 Child under 10 years,11897,11485,23382
 Total,64754,73863,138617
AREA # 090401,Myingyan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),78466,103120,181586
 Associate Scrutiny Card (blue),33,47,80
 Naturalised Scrutiny Card (green),365,249,614
 National Registration Card (3-fold),754,1284,2038
 Religious card,1387,150,1537
 Temporary Registration Card (white),422,726,1148
 Foreign Registration Card (FRC),9,12,21
 Foreign Passport,37,26,63
 None,21019,25375,46394
 Child under 10 years,21608,21007,42615
 Total,124100,151996,276096
AREA # 090402,Taungtha,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),60221,78663,138884
 Associate Scrutiny Card (blue),13,22,35
 Naturalised Scrutiny Card (green),228,171,399
 National Registration Card (3-fold),701,1278,1979
 Religious card,694,56,750
 Temporary Registration Card (white),65,93,158
 Foreign Passport,21,16,37
 None,15848,20199,36047
 Child under 10 years,19370,18983,38353
 Total,97161,119481,216642
AREA # 090403,Natogyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),53483,67720,121203
 Associate Scrutiny Card (blue),8,18,26
 Naturalised Scrutiny Card (green),98,55,153
 National Registration Card (3-fold),151,234,385
 Religious card,688,25,713
 Temporary Registration Card (white),35,34,69
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,20,10,30
 None,11910,13770,25680
 Child under 10 years,14454,14364,28818
 Total,80848,96230,177078
AREA # 090404,Kyaukpadaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),72980,98516,171496
 Associate Scrutiny Card (blue),15,18,33
 Naturalised Scrutiny Card (green),97,56,153
 National Registration Card (3-fold),179,258,437
 Religious card,1502,185,1687
 Temporary Registration Card (white),126,138,264
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,19,25,44
 None,18293,23059,41352
 Child under 10 years,23414,23027,46441
 Total,116625,145283,261908
AREA # 090405,Ngazun,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),36386,43887,80273
 Associate Scrutiny Card (blue),17,21,38
 Naturalised Scrutiny Card (green),88,120,208
 National Registration Card (3-fold),552,1138,1690
 Religious card,577,32,609
 Temporary Registration Card (white),65,96,161
 Foreign Registration Card (FRC),2,1,3
 Foreign Passport,15,26,41
 None,8704,12062,20766
 Child under 10 years,10263,10181,20444
 Total,56669,67564,124233
AREA # 090501,Nyaung U,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),64599,80213,144812
 Associate Scrutiny Card (blue),46,59,105
 Naturalised Scrutiny Card (green),55,27,82
 National Registration Card (3-fold),110,166,276
 Religious card,871,91,962
 Temporary Registration Card (white),62,63,125
