Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Bucket (Surface latrine),1,369,370,Pan San(Pan Kham),MMR015005
 Other,3,411,414,Pan San(Pan Kham),MMR015005
 No toilet,-,6448,6448,Pan San(Pan Kham),MMR015005
 Total,2022,14120,16142,Pan San(Pan Kham),MMR015005
 Flush,24,580,604,Naphang,MMR015006
 Water seal (Improved pit latrine),89,3127,3216,Naphang,MMR015006
 Pit (Traditional pit latrine),18,4646,4664,Naphang,MMR015006
 Bucket (Surface latrine),4,1582,1586,Naphang,MMR015006
 Other,19,1510,1529,Naphang,MMR015006
 No toilet,1,4874,4875,Naphang,MMR015006
 Total,155,16319,16474,Naphang,MMR015006
 Flush,5,-,5,ManKan(ST),MMR015005
 Water seal (Improved pit latrine),48,20,68,ManKan(ST),MMR015005
 Pit (Traditional pit latrine),21,106,127,ManKan(ST),MMR015005
 Bucket (Surface latrine),-,1,1,ManKan(ST),MMR015005
 Other,-,4,4,ManKan(ST),MMR015005
 No toilet,7,103,110,ManKan(ST),MMR015005
 Total,81,234,315,ManKan(ST),MMR015005
 Flush,228,303,531,Kengtung,MMR016001
 Water seal (Improved pit latrine),8814,15237,24051,Kengtung,MMR016001
 Pit (Traditional pit latrine),22,407,429,Kengtung,MMR016001
 Bucket (Surface latrine),2,71,73,Kengtung,MMR016001
 Other,14,293,307,Kengtung,MMR016001
 No toilet,22,8683,8705,Kengtung,MMR016001
 Total,9102,24994,34096,Kengtung,MMR016001
 Flush,3,39,42,Minekat,MMR016002
 Water seal (Improved pit latrine),502,1147,1649,Minekat,MMR016002
 Pit (Traditional pit latrine),10,272,282,Minekat,MMR016002
 Bucket (Surface latrine),-,52,52,Minekat,MMR016002
 Other,2,21,23,Minekat,MMR016002
 No toilet,41,5936,5977,Minekat,MMR016002
 Total,558,7467,8025,Minekat,MMR016002
 Flush,8,118,126,Mineyan,MMR016003
 Water seal (Improved pit latrine),947,3912,4859,Mineyan,MMR016003
 Pit (Traditional pit latrine),10,255,265,Mineyan,MMR016003
 Bucket (Surface latrine),15,93,108,Mineyan,MMR016003
 Other,-,41,41,Mineyan,MMR016003
 No toilet,9,4711,4720,Mineyan,MMR016003
 Total,989,9130,10119,Mineyan,MMR016003
 Flush,40,110,150,Minelar,MMR016005
 Water seal (Improved pit latrine),1494,1910,3404,Minelar,MMR016005
 Pit (Traditional pit latrine),1,101,102,Minelar,MMR016005
 Bucket (Surface latrine),1,145,146,Minelar,MMR016005
 Other,1,34,35,Minelar,MMR016005
 No toilet,23,1348,1371,Minelar,MMR016005
 Total,1560,3648,5208,Minelar,MMR016005
 Flush,-,169,169,Mine Pauk(ST),MMR016003
 Water seal (Improved pit latrine),-,3166,3166,Mine Pauk(ST),MMR016003
 Pit (Traditional pit latrine),-,1362,1362,Mine Pauk(ST),MMR016003
 Bucket (Surface latrine),-,87,87,Mine Pauk(ST),MMR016003
 Other,-,308,308,Mine Pauk(ST),MMR016003
 No toilet,-,4193,4193,Mine Pauk(ST),MMR016003
 Total,-,9285,9285,Mine Pauk(ST),MMR016003
 Flush,30,270,300,Minesat,MMR016006
 Water seal (Improved pit latrine),1518,5645,7163,Minesat,MMR016006
 Pit (Traditional pit latrine),4,4843,4847,Minesat,MMR016006
 Bucket (Surface latrine),-,284,284,Minesat,MMR016006
 Other,1,33,34,Minesat,MMR016006
 No toilet,8,3273,3281,Minesat,MMR016006
 Total,1561,14348,15909,Minesat,MMR016006
 Flush,65,37,102,Minepyin,MMR016007
 Water seal (Improved pit latrine),1068,2642,3710,Minepyin,MMR016007
 Pit (Traditional pit latrine),73,422,495,Minepyin,MMR016007
 Bucket (Surface latrine),9,32,41,Minepyin,MMR016007
 Other,5,27,32,Minepyin,MMR016007
 No toilet,113,6112,6225,Minepyin,MMR016007
 Total,1333,9272,10605,Minepyin,MMR016007
 Flush,2,14,16,Minetung,MMR016008
 Water seal (Improved pit latrine),1024,1001,2025,Minetung,MMR016008
 Pit (Traditional pit latrine),67,893,960,Minetung,MMR016008
 Bucket (Surface latrine),9,19,28,Minetung,MMR016008
 Other,-,75,75,Minetung,MMR016008
 No toilet,17,1137,1154,Minetung,MMR016008
 Total,1119,3139,4258,Minetung,MMR016008
 Flush,38,35,73,Minekoke(ST),MMR016006
 Water seal (Improved pit latrine),177,445,622,Minekoke(ST),MMR016006
 Pit (Traditional pit latrine),1,22,23,Minekoke(ST),MMR016006
 Bucket (Surface latrine),-,9,9,Minekoke(ST),MMR016006
 Other,-,106,106,Minekoke(ST),MMR016006
 No toilet,68,2301,2369,Minekoke(ST),MMR016006
 Total,284,2918,3202,Minekoke(ST),MMR016006
 Flush,1,-,1,Tontar(ST),MMR016007
 Water seal (Improved pit latrine),330,239,569,Tontar(ST),MMR016007
 Pit (Traditional pit latrine),12,5,17,Tontar(ST),MMR016007
 Bucket (Surface latrine),1,2,3,Tontar(ST),MMR016007
 Other,10,1,11,Tontar(ST),MMR016007
 No toilet,73,2020,2093,Tontar(ST),MMR016007
 Total,427,2267,2694,Tontar(ST),MMR016007
 Flush,9,197,206,Ponparkyin(ST),MMR016008
 Water seal (Improved pit latrine),671,2518,3189,Ponparkyin(ST),MMR016008
 Pit (Traditional pit latrine),40,3274,3314,Ponparkyin(ST),MMR016008
 Bucket (Surface latrine),-,113,113,Ponparkyin(ST),MMR016008
 Other,-,121,121,Ponparkyin(ST),MMR016008
 No toilet,1,390,391,Ponparkyin(ST),MMR016008
 Total,721,6613,7334,Ponparkyin(ST),MMR016008
 Flush,-,6,6,Monehta(ST),MMR016008
 Water seal (Improved pit latrine),58,91,149,Monehta(ST),MMR016008
 Pit (Traditional pit latrine),10,620,630,Monehta(ST),MMR016008
 Bucket (Surface latrine),5,31,36,Monehta(ST),MMR016008
 Other,3,2,5,Monehta(ST),MMR016008
 No toilet,15,88,103,Monehta(ST),MMR016008
 Total,91,838,929,Monehta(ST),MMR016008
 Flush,503,174,677,Tachileik,MMR016009
 Water seal (Improved pit latrine),10557,17536,28093,Tachileik,MMR016009
 Pit (Traditional pit latrine),21,535,556,Tachileik,MMR016009
 Bucket (Surface latrine),2,27,29,Tachileik,MMR016009
 Other,4,82,86,Tachileik,MMR016009
 No toilet,7,1731,1738,Tachileik,MMR016009
 Total,11094,20085,31179,Tachileik,MMR016009
 Flush,5,31,36,Talay(ST),MMR016009
 Water seal (Improved pit latrine),848,2489,3337,Talay(ST),MMR016009
 Pit (Traditional pit latrine),2,18,20,Talay(ST),MMR016009
 Other,-,2,2,Talay(ST),MMR016009
 No toilet,18,605,623,Talay(ST),MMR016009
 Total,873,3145,4018,Talay(ST),MMR016009
 Flush,8,14,22,Kenglat(ST),MMR016009
 Water seal (Improved pit latrine),747,1146,1893,Kenglat(ST),MMR016009
 Pit (Traditional pit latrine),-,11,11,Kenglat(ST),MMR016009
 Bucket (Surface latrine),-,2,2,Kenglat(ST),MMR016009
 Other,-,6,6,Kenglat(ST),MMR016009
 No toilet,7,535,542,Kenglat(ST),MMR016009
 Total,762,1714,2476,Kenglat(ST),MMR016009
 Flush,13,15,28,Minephyat,MMR016010
 Water seal (Improved pit latrine),1297,2690,3987,Minephyat,MMR016010
 Pit (Traditional pit latrine),2,25,27,Minephyat,MMR016010
 Bucket (Surface latrine),-,7,7,Minephyat,MMR016010
 Other,1,5,6,Minephyat,MMR016010
 No toilet,10,2100,2110,Minephyat,MMR016010
 Total,1323,4842,6165,Minephyat,MMR016010
 Flush,4,286,290,Mineyaung,MMR016011
 Water seal (Improved pit latrine),1129,4199,5328,Mineyaung,MMR016011
 Pit (Traditional pit latrine),3,10,13,Mineyaung,MMR016011
 Bucket (Surface latrine),2,8,10,Mineyaung,MMR016011
 Other,2,19,21,Mineyaung,MMR016011
 No toilet,50,617,667,Mineyaung,MMR016011
 Total,1190,5139,6329,Mineyaung,MMR016011
 Flush,3,252,255,Mineyu(ST),MMR016011
 Water seal (Improved pit latrine),206,4321,4527,Mineyu(ST),MMR016011
 Pit (Traditional pit latrine),-,351,351,Mineyu(ST),MMR016011
 Bucket (Surface latrine),-,54,54,Mineyu(ST),MMR016011
 Other,1,103,104,Mineyu(ST),MMR016011
 No toilet,21,5555,5576,Mineyu(ST),MMR016011
 Total,231,10636,10867,Mineyu(ST),MMR016011
 Flush,24,142,166,Kangyidaunt,MMR017002
 Water seal (Improved pit latrine),2480,32703,35183,Kangyidaunt,MMR017002
 Pit (Traditional pit latrine),29,629,658,Kangyidaunt,MMR017002
 Bucket (Surface latrine),73,2654,2727,Kangyidaunt,MMR017002
 Other,-,459,459,Kangyidaunt,MMR017002
 No toilet,68,3705,3773,Kangyidaunt,MMR017002
 Total,2674,40292,42966,Kangyidaunt,MMR017002
 Flush,79,340,419,Kyaungon,MMR017007
 Water seal (Improved pit latrine),3682,32437,36119,Kyaungon,MMR017007
 Pit (Traditional pit latrine),80,1767,1847,Kyaungon,MMR017007
 Bucket (Surface latrine),3,302,305,Kyaungon,MMR017007
 Other,2,196,198,Kyaungon,MMR017007
 No toilet,104,2410,2514,Kyaungon,MMR017007
 Total,3950,37452,41402,Kyaungon,MMR017007
 Flush,94,111,205,Kyonpyaw,MMR017005
 Water seal (Improved pit latrine),5728,51095,56823,Kyonpyaw,MMR017005
 Pit (Traditional pit latrine),84,716,800,Kyonpyaw,MMR017005
 Bucket (Surface latrine),-,105,105,Kyonpyaw,MMR017005
 Other,4,70,74,Kyonpyaw,MMR017005
 No toilet,89,1392,1481,Kyonpyaw,MMR017005
 Total,5999,53489,59488,Kyonpyaw,MMR017005
 Flush,15,312,327,Ngaputaw,MMR017004
 Water seal (Improved pit latrine),2224,15412,17636,Ngaputaw,MMR017004
 Pit (Traditional pit latrine),51,546,597,Ngaputaw,MMR017004
 Bucket (Surface latrine),26,4703,4729,Ngaputaw,MMR017004
 Other,19,863,882,Ngaputaw,MMR017004
 No toilet,206,12999,13205,Ngaputaw,MMR017004
 Total,2541,34835,37376,Ngaputaw,MMR017004
 Flush,917,126,1043,Pathein,MMR017001
 Water seal (Improved pit latrine),34381,22946,57327,Pathein,MMR017001
 Pit (Traditional pit latrine),705,875,1580,Pathein,MMR017001
 Bucket (Surface latrine),620,947,1567,Pathein,MMR017001
 Other,100,231,331,Pathein,MMR017001
 No toilet,718,3470,4188,Pathein,MMR017001
 Total,37441,28595,66036,Pathein,MMR017001
 Flush,36,65,101,Yekyi,MMR017006
 Water seal (Improved pit latrine),2691,22555,25246,Yekyi,MMR017006
 Pit (Traditional pit latrine),25,461,486,Yekyi,MMR017006
 Bucket (Surface latrine),1,395,396,Yekyi,MMR017006
 Other,-,75,75,Yekyi,MMR017006
 No toilet,13,1485,1498,Yekyi,MMR017006
 Total,2766,25036,27802,Yekyi,MMR017006
 Flush,13,329,342,Thapaung,MMR017003
 Water seal (Improved pit latrine),1530,19509,21039,Thapaung,MMR017003
 Pit (Traditional pit latrine),36,2766,2802,Thapaung,MMR017003
 Bucket (Surface latrine),30,1302,1332,Thapaung,MMR017003
 Other,5,1104,1109,Thapaung,MMR017003
 No toilet,126,10487,10613,Thapaung,MMR017003
 Total,1740,35497,37237,Thapaung,MMR017003
 Flush,1,7,8,Ngayokaung(ST),MMR017004
 Water seal (Improved pit latrine),588,3207,3795,Ngayokaung(ST),MMR017004
 Pit (Traditional pit latrine),6,215,221,Ngayokaung(ST),MMR017004
 Bucket (Surface latrine),36,685,721,Ngayokaung(ST),MMR017004
 Other,6,186,192,Ngayokaung(ST),MMR017004
 No toilet,196,5068,5264,Ngayokaung(ST),MMR017004
 Total,833,9368,10201,Ngayokaung(ST),MMR017004
 Flush,5,68,73,Hainggyikyun(ST),MMR017004
 Water seal (Improved pit latrine),2764,13188,15952,Hainggyikyun(ST),MMR017004
 Pit (Traditional pit latrine),47,257,304,Hainggyikyun(ST),MMR017004
 Bucket (Surface latrine),283,2184,2467,Hainggyikyun(ST),MMR017004
 Other,2,412,414,Hainggyikyun(ST),MMR017004
 No toilet,448,9417,9865,Hainggyikyun(ST),MMR017004
 Total,3549,25526,29075,Hainggyikyun(ST),MMR017004
 Flush,4,40,44,Shwethaungyan(ST),MMR017001
 Water seal (Improved pit latrine),520,6008,6528,Shwethaungyan(ST),MMR017001
 Pit (Traditional pit latrine),42,121,163,Shwethaungyan(ST),MMR017001
 Bucket (Surface latrine),1,243,244,Shwethaungyan(ST),MMR017001
 Other,14,53,67,Shwethaungyan(ST),MMR017001
 No toilet,238,2897,3135,Shwethaungyan(ST),MMR017001
 Total,819,9362,10181,Shwethaungyan(ST),MMR017001
 Flush,36,27,63,Ngwehsaung(ST),MMR017001
 Water seal (Improved pit latrine),2367,4357,6724,Ngwehsaung(ST),MMR017001
 Pit (Traditional pit latrine),19,242,261,Ngwehsaung(ST),MMR017001
 Bucket (Surface latrine),9,155,164,Ngwehsaung(ST),MMR017001
 Other,9,18,27,Ngwehsaung(ST),MMR017001
 No toilet,235,1996,2231,Ngwehsaung(ST),MMR017001
 Total,2675,6795,9470,Ngwehsaung(ST),MMR017001
 Flush,55,65,120,Ngathaingchaung(ST),MMR017006
 Water seal (Improved pit latrine),3930,10262,14192,Ngathaingchaung(ST),MMR017006
 Pit (Traditional pit latrine),179,991,1170,Ngathaingchaung(ST),MMR017006
 Bucket (Surface latrine),150,2808,2958,Ngathaingchaung(ST),MMR017006
 Other,7,284,291,Ngathaingchaung(ST),MMR017006
 No toilet,276,3906,4182,Ngathaingchaung(ST),MMR017006
 Total,4597,18316,22913,Ngathaingchaung(ST),MMR017006
 Flush,111,182,293,Kyaiklatt,MMR017025
 Water seal (Improved pit latrine),4903,30730,35633,Kyaiklatt,MMR017025
 Pit (Traditional pit latrine),236,2256,2492,Kyaiklatt,MMR017025
 Bucket (Surface latrine),26,982,1008,Kyaiklatt,MMR017025
 Other,45,249,294,Kyaiklatt,MMR017025
 No toilet,96,3932,4028,Kyaiklatt,MMR017025
 Total,5417,38331,43748,Kyaiklatt,MMR017025
 Flush,25,296,321,Daydaye,MMR017026
 Water seal (Improved pit latrine),3012,31896,34908,Daydaye,MMR017026
 Pit (Traditional pit latrine),122,963,1085,Daydaye,MMR017026
 Bucket (Surface latrine),260,3693,3953,Daydaye,MMR017026
 Other,5,599,604,Daydaye,MMR017026
 No toilet,142,7597,7739,Daydaye,MMR017026
 Total,3566,45044,48610,Daydaye,MMR017026
 Flush,111,325,436,Phyapon,MMR017023
 Water seal (Improved pit latrine),8908,16108,25016,Phyapon,MMR017023
 Pit (Traditional pit latrine),396,853,1249,Phyapon,MMR017023
 Bucket (Surface latrine),194,6352,6546,Phyapon,MMR017023
 Other,81,1178,1259,Phyapon,MMR017023
 No toilet,364,6760,7124,Phyapon,MMR017023
 Total,10054,31576,41630,Phyapon,MMR017023
 Flush,116,494,610,Bogale,MMR017024
 Water seal (Improved pit latrine),7712,37179,44891,Bogale,MMR017024
 Pit (Traditional pit latrine),545,3214,3759,Bogale,MMR017024
 Bucket (Surface latrine),1190,7456,8646,Bogale,MMR017024
 Other,28,2049,2077,Bogale,MMR017024
 No toilet,524,15480,16004,Bogale,MMR017024
 Total,10115,65872,75987,Bogale,MMR017024
 Flush,4,271,275,Ahmar(ST),MMR017023
 Water seal (Improved pit latrine),516,6484,7000,Ahmar(ST),MMR017023
 Pit (Traditional pit latrine),30,727,757,Ahmar(ST),MMR017023
 Bucket (Surface latrine),20,8808,8828,Ahmar(ST),MMR017023
 Other,1,1334,1335,Ahmar(ST),MMR017023
 No toilet,206,9385,9591,Ahmar(ST),MMR017023
 Total,777,27009,27786,Ahmar(ST),MMR017023
 Flush,58,88,146,Nyaungdon,MMR017021
 Water seal (Improved pit latrine),4814,37707,42521,Nyaungdon,MMR017021
 Pit (Traditional pit latrine),833,3748,4581,Nyaungdon,MMR017021
 Bucket (Surface latrine),18,1272,1290,Nyaungdon,MMR017021
 Other,47,513,560,Nyaungdon,MMR017021
 No toilet,130,1973,2103,Nyaungdon,MMR017021
 Total,5900,45301,51201,Nyaungdon,MMR017021
 Flush,84,100,184,Danubyu,MMR017022
 Water seal (Improved pit latrine),4957,35108,40065,Danubyu,MMR017022
 Pit (Traditional pit latrine),41,1161,1202,Danubyu,MMR017022
 Bucket (Surface latrine),20,805,825,Danubyu,MMR017022
 Other,5,479,484,Danubyu,MMR017022
 No toilet,73,1964,2037,Danubyu,MMR017022
 Total,5180,39617,44797,Danubyu,MMR017022
 Flush,86,147,233,Pantanaw,MMR017020
 Water seal (Improved pit latrine),3435,45658,49093,Pantanaw,MMR017020
 Pit (Traditional pit latrine),357,2043,2400,Pantanaw,MMR017020
 Bucket (Surface latrine),185,3592,3777,Pantanaw,MMR017020
 Other,16,417,433,Pantanaw,MMR017020
 No toilet,213,4128,4341,Pantanaw,MMR017020
 Total,4292,55985,60277,Pantanaw,MMR017020
 Flush,144,215,359,Maubin,MMR017019
 Water seal (Improved pit latrine),7992,41084,49076,Maubin,MMR017019
 Pit (Traditional pit latrine),635,12863,13498,Maubin,MMR017019
 Bucket (Surface latrine),63,3864,3927,Maubin,MMR017019
 Other,66,553,619,Maubin,MMR017019
 No toilet,237,4088,4325,Maubin,MMR017019
 Total,9137,62667,71804,Maubin,MMR017019
 Flush,237,307,544,Myaungmya,MMR017014
 Water seal (Improved pit latrine),11163,33491,44654,Myaungmya,MMR017014
 Pit (Traditional pit latrine),329,3079,3408,Myaungmya,MMR017014
 Bucket (Surface latrine),262,6481,6743,Myaungmya,MMR017014
 Other,35,1069,1104,Myaungmya,MMR017014
 No toilet,487,9232,9719,Myaungmya,MMR017014
 Total,12513,53659,66172,Myaungmya,MMR017014
 Flush,26,265,291,Wakema,MMR017017
 Water seal (Improved pit latrine),4935,48295,53230,Wakema,MMR017017
 Pit (Traditional pit latrine),76,2705,2781,Wakema,MMR017017
 Bucket (Surface latrine),80,3553,3633,Wakema,MMR017017
 Other,15,545,560,Wakema,MMR017017
 No toilet,173,6780,6953,Wakema,MMR017017
 Total,5305,62143,67448,Wakema,MMR017017
 Flush,48,115,163,Einme,MMR017015
 Water seal (Improved pit latrine),2684,32485,35169,Einme,MMR017015
 Pit (Traditional pit latrine),256,5933,6189,Einme,MMR017015
 Bucket (Surface latrine),1,1279,1280,Einme,MMR017015
 Other,14,410,424,Einme,MMR017015
 No toilet,43,3187,3230,Einme,MMR017015
 Total,3046,43409,46455,Einme,MMR017015
 Flush,71,187,258,Mawlamyinegyun,MMR017018
 Water seal (Improved pit latrine),7027,49637,56664,Mawlamyinegyun,MMR017018
 Pit (Traditional pit latrine),202,3914,4116,Mawlamyinegyun,MMR017018
 Bucket (Surface latrine),20,1475,1495,Mawlamyinegyun,MMR017018
 Other,39,518,557,Mawlamyinegyun,MMR017018
 No toilet,224,11572,11796,Mawlamyinegyun,MMR017018
 Total,7583,67303,74886,Mawlamyinegyun,MMR017018
 Flush,100,335,435,Labutta,MMR017016
 Water seal (Improved pit latrine),5421,26551,31972,Labutta,MMR017016
 Pit (Traditional pit latrine),91,922,1013,Labutta,MMR017016
 Bucket (Surface latrine),1130,5871,7001,Labutta,MMR017016
 Other,117,993,1110,Labutta,MMR017016
 No toilet,344,13271,13615,Labutta,MMR017016
 Total,7203,47943,55146,Labutta,MMR017016
 Flush,-,82,82,Pyinsalu(ST),MMR017016
 Water seal (Improved pit latrine),389,10986,11375,Pyinsalu(ST),MMR017016
 Pit (Traditional pit latrine),1,290,291,Pyinsalu(ST),MMR017016
 Bucket (Surface latrine),52,1879,1931,Pyinsalu(ST),MMR017016
 Other,2,149,151,Pyinsalu(ST),MMR017016
 No toilet,57,6550,6607,Pyinsalu(ST),MMR017016
 Total,501,19936,20437,Pyinsalu(ST),MMR017016
 Flush,95,21,116,Kyangin,MMR017012
 Water seal (Improved pit latrine),5114,18755,23869,Kyangin,MMR017012
 Pit (Traditional pit latrine),10,444,454,Kyangin,MMR017012
 Bucket (Surface latrine),-,243,243,Kyangin,MMR017012
 Other,5,84,89,Kyangin,MMR017012
 No toilet,82,2004,2086,Kyangin,MMR017012
 Total,5306,21551,26857,Kyangin,MMR017012
 Flush,119,192,311,Zalun,MMR017009
 Water seal (Improved pit latrine),4910,33305,38215,Zalun,MMR017009
 Pit (Traditional pit latrine),37,739,776,Zalun,MMR017009
 Bucket (Surface latrine),20,582,602,Zalun,MMR017009
 Other,-,105,105,Zalun,MMR017009
 No toilet,171,1893,2064,Zalun,MMR017009
 Total,5257,36816,42073,Zalun,MMR017009
 Flush,67,155,222,Myanaung,MMR017011
 Water seal (Improved pit latrine),5648,44382,50030,Myanaung,MMR017011
 Pit (Traditional pit latrine),84,2883,2967,Myanaung,MMR017011
 Bucket (Surface latrine),49,1176,1225,Myanaung,MMR017011
 Other,18,351,369,Myanaung,MMR017011
 No toilet,183,4924,5107,Myanaung,MMR017011
 Total,6049,53871,59920,Myanaung,MMR017011
 Flush,11,25,36,Laymyethna,MMR017010
 Water seal (Improved pit latrine),715,19808,20523,Laymyethna,MMR017010
 Pit (Traditional pit latrine),2,1710,1712,Laymyethna,MMR017010
 Bucket (Surface latrine),2,1143,1145,Laymyethna,MMR017010
 Other,-,175,175,Laymyethna,MMR017010
 No toilet,40,2613,2653,Laymyethna,MMR017010
 Total,770,25474,26244,Laymyethna,MMR017010
 Flush,401,238,639,Hinthada,MMR017008
 Water seal (Improved pit latrine),18437,53884,72321,Hinthada,MMR017008
 Pit (Traditional pit latrine),647,9229,9876,Hinthada,MMR017008
 Bucket (Surface latrine),97,796,893,Hinthada,MMR017008
 Other,46,128,174,Hinthada,MMR017008
 No toilet,201,2025,2226,Hinthada,MMR017008
 Total,19829,66300,86129,Hinthada,MMR017008
 Flush,45,136,181,Ingapu,MMR017013
 Water seal (Improved pit latrine),3220,39717,42937,Ingapu,MMR017013
 Pit (Traditional pit latrine),199,2810,3009,Ingapu,MMR017013
 Bucket (Surface latrine),5,4956,4961,Ingapu,MMR017013
 Other,5,333,338,Ingapu,MMR017013
 No toilet,104,5699,5803,Ingapu,MMR017013
 Total,3578,53651,57229,Ingapu,MMR017013
 Flush,227,1229,1456,Tatkon,MMR018003
 Water seal (Improved pit latrine),8461,35333,43794,Tatkon,MMR018003
 Pit (Traditional pit latrine),115,1259,1374,Tatkon,MMR018003
 Bucket (Surface latrine),-,61,61,Tatkon,MMR018003
 Other,32,49,81,Tatkon,MMR018003
 No toilet,311,4670,4981,Tatkon,MMR018003
 Total,9146,42601,51747,Tatkon,MMR018003
 Flush,1405,234,1639,Zeyarthiri,MMR018001
 Water seal (Improved pit latrine),6787,16063,22850,Zeyarthiri,MMR018001
 Pit (Traditional pit latrine),39,485,524,Zeyarthiri,MMR018001
 Bucket (Surface latrine),3,82,85,Zeyarthiri,MMR018001
 Other,1,22,23,Zeyarthiri,MMR018001
 No toilet,11,943,954,Zeyarthiri,MMR018001
 Total,8246,17829,26075,Zeyarthiri,MMR018001
 Flush,377,314,691,Ottarathiri,MMR018008
 Water seal (Improved pit latrine),4243,11507,15750,Ottarathiri,MMR018008
 Pit (Traditional pit latrine),52,591,643,Ottarathiri,MMR018008
 Bucket (Surface latrine),4,36,40,Ottarathiri,MMR018008
 Other,14,36,50,Ottarathiri,MMR018008
 No toilet,205,1282,1487,Ottarathiri,MMR018008
 Total,4895,13766,18661,Ottarathiri,MMR018008
 Flush,894,655,1549,Pobbathiri,MMR018005
 Water seal (Improved pit latrine),8517,13579,22096,Pobbathiri,MMR018005
 Pit (Traditional pit latrine),576,1263,1839,Pobbathiri,MMR018005
 Bucket (Surface latrine),16,25,41,Pobbathiri,MMR018005
 Other,29,44,73,Pobbathiri,MMR018005
 No toilet,216,1802,2018,Pobbathiri,MMR018005
 Total,10248,17368,27616,Pobbathiri,MMR018005
 Flush,521,428,949,Pyinmana,MMR018006
 Water seal (Improved pit latrine),12748,20007,32755,Pyinmana,MMR018006
 Pit (Traditional pit latrine),957,2627,3584,Pyinmana,MMR018006
 Bucket (Surface latrine),17,65,82,Pyinmana,MMR018006
 Other,18,117,135,Pyinmana,MMR018006
 No toilet,195,1963,2158,Pyinmana,MMR018006
 Total,14456,25207,39663,Pyinmana,MMR018006
 Flush,384,505,889,Lewe,MMR018007
 Water seal (Improved pit latrine),5250,47196,52446,Lewe,MMR018007
 Pit (Traditional pit latrine),394,2968,3362,Lewe,MMR018007
 Bucket (Surface latrine),5,478,483,Lewe,MMR018007
 Other,3,453,456,Lewe,MMR018007
 No toilet,87,7451,7538,Lewe,MMR018007
 Total,6123,59051,65174,Lewe,MMR018007
 Flush,17504,9,17513,Zabuthiri,MMR018002
 Water seal (Improved pit latrine),6420,1232,7652,Zabuthiri,MMR018002
 Pit (Traditional pit latrine),466,89,555,Zabuthiri,MMR018002
 Bucket (Surface latrine),30,2,32,Zabuthiri,MMR018002
 Other,27,1,28,Zabuthiri,MMR018002
 No toilet,275,265,540,Zabuthiri,MMR018002
 Total,24722,1598,26320,Zabuthiri,MMR018002
 Flush,152,54,206,Dekkhinathiri,MMR018004
 Water seal (Improved pit latrine),726,5667,6393,Dekkhinathiri,MMR018004
 Pit (Traditional pit latrine),16,38,54,Dekkhinathiri,MMR018004
 Bucket (Surface latrine),2,13,15,Dekkhinathiri,MMR018004
 Other,8,4,12,Dekkhinathiri,MMR018004
 No toilet,4,313,317,Dekkhinathiri,MMR018004
 Total,908,6089,6997,Dekkhinathiri,MMR018004
 Flush,158773,70202,228975,Dekkhinathiri,MMR018004
 Water seal (Improved pit latrine),2656262,5198875,7855137,Dekkhinathiri,MMR018004
 Pit (Traditional pit latrine),116972,738473,855445,Dekkhinathiri,MMR018004
 Bucket (Surface latrine),30781,260135,290916,Dekkhinathiri,MMR018004
 Other,9259,76416,85675,Dekkhinathiri,MMR018004
 No toilet,77386,1484298,1561684,Dekkhinathiri,MMR018004
 Total,3049433,7828399,10877832,Dekkhinathiri,MMR018004
